q_id,group,method_label,score,accuracy,reasoning,hallucination,bim_insight,type,difficulty,retrieval_ms,latency_ms,n_retrieved,truncated,corpus
24,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4441,17177,3,False,idp_only
25,I,RAPTOR,,,,,,analytical_aggregation,Hard,226,4892,1,False,idp_only
25,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,7351,19816,1,False,idp_only
25,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,7375,12140,1,False,idp_only
26,I,RAPTOR,,,,,,multi_hop_topological,Expert,243,3880,0,False,idp_only
26,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6154,16798,3,False,idp_only
26,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4733,9325,4,False,idp_only
27,I,RAPTOR,,,,,,multi_hop_topological,Expert,295,3526,0,False,idp_only
27,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,9095,14051,2,False,idp_only
27,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4627,13539,3,False,idp_only
28,I,RAPTOR,,,,,,multi_hop_topological,Expert,224,3587,0,False,idp_only
28,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6045,14333,3,False,idp_only
28,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,7653,16154,4,False,idp_only
29,I,RAPTOR,,,,,,spatial_awareness,High,286,9116,1,False,idp_only
29,J,HyDE+Fusion,,,,,,spatial_awareness,High,5502,14145,3,False,idp_only
29,K,Corrective-RAG,,,,,,spatial_awareness,High,4764,11753,3,False,idp_only
30,I,RAPTOR,,,,,,analytical_aggregation,Hard,235,7161,0,False,idp_only
30,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6010,15463,3,False,idp_only
30,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4198,15522,4,False,idp_only
31,I,RAPTOR,,,,,,multi_hop_topological,Expert,243,4081,0,False,idp_only
31,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6177,17631,3,False,idp_only
31,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4350,15377,4,False,idp_only
32,I,RAPTOR,,,,,,spatial_awareness,High,226,4282,1,False,idp_only
32,J,HyDE+Fusion,,,,,,spatial_awareness,High,5977,15048,4,False,idp_only
32,K,Corrective-RAG,,,,,,spatial_awareness,High,4595,8587,3,False,idp_only
33,I,RAPTOR,,,,,,analytical_aggregation,Hard,210,5018,0,False,idp_only
33,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,11096,24104,3,False,idp_only
33,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4615,12722,3,False,idp_only
34,I,RAPTOR,,,,,,multi_hop_topological,Expert,250,4017,0,False,idp_only
34,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6419,11138,3,False,idp_only
34,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4599,9894,3,False,idp_only
35,I,RAPTOR,,,,,,multi_hop_topological,Expert,224,6975,0,False,idp_only
35,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6008,15575,4,False,idp_only
35,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,7784,17494,1,False,idp_only
36,I,RAPTOR,,,,,,analytical_aggregation,Hard,244,3526,0,False,idp_only
36,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6313,14712,3,False,idp_only
36,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4575,12615,3,False,idp_only
37,I,RAPTOR,,,,,,analytical_aggregation,Hard,253,7444,0,False,idp_only
37,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6006,10506,2,False,idp_only
37,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4406,12364,2,False,idp_only
38,I,RAPTOR,,,,,,spatial_awareness,High,303,4311,1,False,idp_only
38,J,HyDE+Fusion,,,,,,spatial_awareness,High,9074,13525,3,False,idp_only
38,K,Corrective-RAG,,,,,,spatial_awareness,High,4134,7538,3,False,idp_only
39,I,RAPTOR,,,,,,analytical_aggregation,Hard,239,6504,0,False,idp_only
39,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5490,15271,4,False,idp_only
39,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4659,11575,3,False,idp_only
40,I,RAPTOR,,,,,,spatial_awareness,High,248,6291,1,False,idp_only
40,J,HyDE+Fusion,,,,,,spatial_awareness,High,5863,14064,3,False,idp_only
40,K,Corrective-RAG,,,,,,spatial_awareness,High,7516,16055,1,False,idp_only
41,I,RAPTOR,,,,,,spatial_awareness,High,327,4226,1,False,idp_only
41,J,HyDE+Fusion,,,,,,spatial_awareness,High,6533,14387,4,False,idp_only
41,K,Corrective-RAG,,,,,,spatial_awareness,High,4548,14638,3,False,idp_only
42,I,RAPTOR,,,,,,spatial_awareness,High,216,16087,1,False,idp_only
42,J,HyDE+Fusion,,,,,,spatial_awareness,High,6255,9632,3,False,idp_only
42,K,Corrective-RAG,,,,,,spatial_awareness,High,4024,8379,1,False,idp_only
43,I,RAPTOR,,,,,,analytical_aggregation,Hard,339,8712,0,False,idp_only
43,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5892,11126,3,False,idp_only
43,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4260,16892,3,False,idp_only
44,I,RAPTOR,,,,,,multi_hop_topological,Expert,244,3404,0,False,idp_only
44,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,8734,20279,2,False,idp_only
44,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,7581,17919,2,False,idp_only
45,I,RAPTOR,,,,,,multi_hop_topological,Expert,234,7734,0,False,idp_only
45,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6521,14280,1,False,idp_only
45,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4519,9735,1,False,idp_only
46,I,RAPTOR,,,,,,spatial_awareness,High,234,7450,1,False,idp_only
46,J,HyDE+Fusion,,,,,,spatial_awareness,High,8967,16437,3,False,idp_only
46,K,Corrective-RAG,,,,,,spatial_awareness,High,4362,8043,2,False,idp_only
47,I,RAPTOR,,,,,,analytical_aggregation,Hard,297,3566,0,False,idp_only
47,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,9020,20054,2,False,idp_only
47,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4667,18746,3,False,idp_only
48,I,RAPTOR,,,,,,spatial_awareness,High,231,4245,1,False,idp_only
48,J,HyDE+Fusion,,,,,,spatial_awareness,High,7226,19314,4,False,idp_only
48,K,Corrective-RAG,,,,,,spatial_awareness,High,4270,13614,2,False,idp_only
49,I,RAPTOR,,,,,,analytical_aggregation,Hard,237,8298,0,False,idp_only
49,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5826,13624,4,False,idp_only
49,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,7682,12771,1,False,idp_only
50,I,RAPTOR,,,,,,analytical_aggregation,Hard,245,3877,0,False,idp_only
50,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5747,17540,3,False,idp_only
50,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4723,10489,3,False,idp_only
51,I,RAPTOR,,,,,,analytical_aggregation,Hard,229,9252,0,False,idp_only
51,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6457,11151,3,False,idp_only
51,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4720,12110,3,False,idp_only
52,I,RAPTOR,,,,,,analytical_aggregation,Hard,250,10755,0,False,idp_only
52,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6548,11372,3,False,idp_only
52,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4917,15118,3,False,idp_only
53,I,RAPTOR,,,,,,spatial_awareness,High,241,10622,1,False,idp_only
53,J,HyDE+Fusion,,,,,,spatial_awareness,High,6206,15760,2,False,idp_only
53,K,Corrective-RAG,,,,,,spatial_awareness,High,4633,13969,1,False,idp_only
54,I,RAPTOR,,,,,,analytical_aggregation,Hard,315,4189,0,False,idp_only
54,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6357,15167,4,False,idp_only
54,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4872,8264,3,False,idp_only
55,I,RAPTOR,,,,,,analytical_aggregation,Hard,475,4296,0,False,idp_only
55,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6711,18180,3,False,idp_only
55,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4943,13154,3,False,idp_only
56,I,RAPTOR,,,,,,spatial_awareness,High,326,12885,1,False,idp_only
56,J,HyDE+Fusion,,,,,,spatial_awareness,High,10070,18577,3,False,idp_only
56,K,Corrective-RAG,,,,,,spatial_awareness,High,4885,15671,3,False,idp_only
57,I,RAPTOR,,,,,,analytical_aggregation,Hard,244,3379,0,False,idp_only
57,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5973,16987,2,False,idp_only
57,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,7637,17658,3,False,idp_only
58,I,RAPTOR,,,,,,analytical_aggregation,Hard,332,4333,0,False,idp_only
58,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5774,16252,4,False,idp_only
58,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4945,16792,3,False,idp_only
59,I,RAPTOR,,,,,,multi_hop_topological,Expert,225,9743,0,False,idp_only
59,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6612,18575,4,False,idp_only
59,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4202,8391,3,False,idp_only
60,I,RAPTOR,,,,,,spatial_awareness,High,272,3813,1,False,idp_only
60,J,HyDE+Fusion,,,,,,spatial_awareness,High,8877,18647,4,False,idp_only
60,K,Corrective-RAG,,,,,,spatial_awareness,High,4369,12299,3,False,idp_only
61,I,RAPTOR,,,,,,spatial_awareness,High,226,4205,1,False,idp_only
61,J,HyDE+Fusion,,,,,,spatial_awareness,High,6010,18059,4,False,idp_only
61,K,Corrective-RAG,,,,,,spatial_awareness,High,4462,7854,3,False,idp_only
62,I,RAPTOR,,,,,,multi_hop_topological,Expert,319,3686,0,False,idp_only
62,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,5503,16613,3,False,idp_only
62,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,9942,19728,4,False,idp_only
63,I,RAPTOR,,,,,,analytical_aggregation,Hard,328,3543,0,False,idp_only
63,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6269,17702,1,False,idp_only
63,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4266,8909,3,False,idp_only
64,I,RAPTOR,,,,,,multi_hop_topological,Expert,215,10716,0,False,idp_only
64,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6147,17495,3,False,idp_only
64,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4489,17402,4,False,idp_only
65,I,RAPTOR,,,,,,multi_hop_topological,Expert,224,3566,0,False,idp_only
65,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,5939,18425,4,False,idp_only
65,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4650,18491,5,False,idp_only
66,I,RAPTOR,,,,,,multi_hop_topological,Expert,224,3570,0,False,idp_only
66,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6036,14484,3,False,idp_only
66,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4215,14201,3,False,idp_only
67,I,RAPTOR,,,,,,multi_hop_topological,Expert,229,3289,0,False,idp_only
67,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,9014,14530,2,False,idp_only
67,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4454,15550,1,False,idp_only
68,I,RAPTOR,,,,,,multi_hop_topological,Expert,362,3421,0,False,idp_only
68,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,9476,17897,4,False,idp_only
68,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4214,12663,3,False,idp_only
69,I,RAPTOR,,,,,,spatial_awareness,High,250,8703,1,False,idp_only
69,J,HyDE+Fusion,,,,,,spatial_awareness,High,9008,19691,5,False,idp_only
69,K,Corrective-RAG,,,,,,spatial_awareness,High,4142,15699,3,False,idp_only
70,I,RAPTOR,,,,,,spatial_awareness,High,268,10133,1,False,idp_only
70,J,HyDE+Fusion,,,,,,spatial_awareness,High,9070,12732,4,False,idp_only
70,K,Corrective-RAG,,,,,,spatial_awareness,High,4290,8113,2,False,idp_only
71,I,RAPTOR,,,,,,multi_hop_topological,Expert,261,8422,0,False,idp_only
71,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,5563,10344,5,False,idp_only
71,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,8039,12753,5,False,idp_only
72,I,RAPTOR,,,,,,spatial_awareness,High,239,8231,4,False,idp_only
72,J,HyDE+Fusion,,,,,,spatial_awareness,High,5473,18120,2,False,idp_only
72,K,Corrective-RAG,,,,,,spatial_awareness,High,7895,19946,5,False,idp_only
73,I,RAPTOR,,,,,,spatial_awareness,High,271,4414,1,False,idp_only
73,J,HyDE+Fusion,,,,,,spatial_awareness,High,5911,16249,3,False,idp_only
73,K,Corrective-RAG,,,,,,spatial_awareness,High,4147,14675,2,False,idp_only
74,I,RAPTOR,,,,,,analytical_aggregation,Hard,233,7933,0,False,idp_only
74,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5772,16105,4,False,idp_only
74,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,10787,18087,3,False,idp_only
75,I,RAPTOR,,,,,,analytical_aggregation,Hard,324,9587,0,False,idp_only
75,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6155,12692,2,False,idp_only
75,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4403,15459,1,False,idp_only
76,I,RAPTOR,,,,,,spatial_awareness,High,233,4438,2,False,idp_only
76,J,HyDE+Fusion,,,,,,spatial_awareness,High,6804,17861,3,False,idp_only
76,K,Corrective-RAG,,,,,,spatial_awareness,High,4719,9145,4,False,idp_only
77,I,RAPTOR,,,,,,spatial_awareness,High,204,4682,1,False,idp_only
77,J,HyDE+Fusion,,,,,,spatial_awareness,High,5717,17265,5,False,idp_only
77,K,Corrective-RAG,,,,,,spatial_awareness,High,3886,13873,1,False,idp_only
78,I,RAPTOR,,,,,,spatial_awareness,High,289,9779,4,False,idp_only
78,J,HyDE+Fusion,,,,,,spatial_awareness,High,6193,12859,3,False,idp_only
78,K,Corrective-RAG,,,,,,spatial_awareness,High,4220,9442,5,False,idp_only
79,I,RAPTOR,,,,,,analytical_aggregation,Hard,360,8371,0,False,idp_only
79,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6273,15483,3,False,idp_only
79,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4406,11373,3,False,idp_only
80,I,RAPTOR,,,,,,multi_hop_topological,Expert,222,3425,0,False,idp_only
80,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6239,13837,2,False,idp_only
80,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4924,16777,1,False,idp_only
81,I,RAPTOR,,,,,,multi_hop_topological,Expert,232,3709,0,False,idp_only
81,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6217,10972,2,False,idp_only
81,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,3927,13852,3,False,idp_only
82,I,RAPTOR,,,,,,analytical_aggregation,Hard,217,5539,0,False,idp_only
82,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6200,17043,2,False,idp_only
82,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,7605,16699,3,False,idp_only
83,I,RAPTOR,,,,,,spatial_awareness,High,328,11533,5,False,idp_only
83,J,HyDE+Fusion,,,,,,spatial_awareness,High,6260,10564,5,False,idp_only
83,K,Corrective-RAG,,,,,,spatial_awareness,High,5188,9813,5,False,idp_only
84,I,RAPTOR,,,,,,analytical_aggregation,Hard,221,6272,0,False,idp_only
84,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6284,15483,3,False,idp_only
84,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4808,15605,3,False,idp_only
85,I,RAPTOR,,,,,,multi_hop_topological,Expert,294,3956,0,False,idp_only
85,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6601,11659,1,False,idp_only
85,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4405,15286,4,False,idp_only
86,I,RAPTOR,,,,,,multi_hop_topological,Expert,216,3717,0,False,idp_only
86,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,5775,15727,3,False,idp_only
86,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,5343,12969,3,False,idp_only
87,I,RAPTOR,,,,,,multi_hop_topological,Expert,215,7603,0,False,idp_only
87,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6765,14167,3,False,idp_only
87,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4091,13317,3,False,idp_only
88,I,RAPTOR,,,,,,multi_hop_topological,Expert,258,3388,0,False,idp_only
88,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6291,19398,2,False,idp_only
88,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4694,14303,1,False,idp_only
89,I,RAPTOR,,,,,,analytical_aggregation,Hard,217,7859,0,False,idp_only
89,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6045,12117,2,False,idp_only
89,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4170,14821,1,False,idp_only
90,I,RAPTOR,,,,,,multi_hop_topological,Expert,298,3555,0,False,idp_only
90,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6129,16059,4,False,idp_only
90,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4502,14025,1,False,idp_only
91,I,RAPTOR,,,,,,spatial_awareness,High,306,10669,1,False,idp_only
91,J,HyDE+Fusion,,,,,,spatial_awareness,High,5778,10124,2,False,idp_only
91,K,Corrective-RAG,,,,,,spatial_awareness,High,4479,7990,3,False,idp_only
92,I,RAPTOR,,,,,,multi_hop_topological,Expert,241,3510,0,False,idp_only
92,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,5973,15921,5,False,idp_only
92,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4210,16926,3,False,idp_only
93,I,RAPTOR,,,,,,multi_hop_topological,Expert,234,6890,0,False,idp_only
93,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6063,14114,2,False,idp_only
93,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,5080,15283,3,False,idp_only
94,I,RAPTOR,,,,,,multi_hop_topological,Expert,226,3668,0,False,idp_only
94,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,5732,17468,1,False,idp_only
94,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4261,11657,1,False,idp_only
95,I,RAPTOR,,,,,,multi_hop_topological,Expert,243,4216,0,False,idp_only
95,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6147,13778,3,False,idp_only
95,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4411,15461,3,False,idp_only
96,I,RAPTOR,,,,,,analytical_aggregation,Hard,285,6442,0,False,idp_only
96,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,5777,10209,3,False,idp_only
96,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,6407,17177,3,False,idp_only
97,I,RAPTOR,,,,,,multi_hop_topological,Expert,246,3500,0,False,idp_only
97,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,5816,10751,3,False,idp_only
97,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4198,9711,1,False,idp_only
98,I,RAPTOR,,,,,,spatial_awareness,High,283,4474,1,False,idp_only
98,J,HyDE+Fusion,,,,,,spatial_awareness,High,8446,14244,2,False,idp_only
98,K,Corrective-RAG,,,,,,spatial_awareness,High,7590,15455,3,False,idp_only
99,I,RAPTOR,,,,,,spatial_awareness,High,273,8911,1,False,idp_only
99,J,HyDE+Fusion,,,,,,spatial_awareness,High,5991,14160,5,False,idp_only
99,K,Corrective-RAG,,,,,,spatial_awareness,High,4008,14406,1,False,idp_only
100,I,RAPTOR,,,,,,spatial_awareness,High,226,4100,1,False,idp_only
100,J,HyDE+Fusion,,,,,,spatial_awareness,High,5784,10711,3,False,idp_only
100,K,Corrective-RAG,,,,,,spatial_awareness,High,4613,8089,3,False,idp_only
101,I,RAPTOR,,,,,,spatial_awareness,High,234,4931,1,False,idp_only
101,J,HyDE+Fusion,,,,,,spatial_awareness,High,5555,14247,3,False,idp_only
101,K,Corrective-RAG,,,,,,spatial_awareness,High,7622,15907,1,False,idp_only
102,I,RAPTOR,,,,,,analytical_aggregation,Hard,224,4812,1,False,idp_only
102,J,HyDE+Fusion,,,,,,analytical_aggregation,Hard,6357,10910,1,False,idp_only
102,K,Corrective-RAG,,,,,,analytical_aggregation,Hard,4815,14938,1,False,idp_only
103,I,RAPTOR,,,,,,multi_hop_topological,Expert,210,4232,0,False,idp_only
103,J,HyDE+Fusion,,,,,,multi_hop_topological,Expert,6057,10998,1,False,idp_only
103,K,Corrective-RAG,,,,,,multi_hop_topological,Expert,4915,14391,4,False,idp_only
