q_id,task_type,roof_no_asset_case,gold_id_count,registration_audit_pass,retrieved_id_recall,answer_id_recall,llm_judge_accuracy_0_5
180,Multi-hop,0,2,1,0.5,0.5,2.0
181,Spatial,0,1,1,0.0,0.0,0.0
182,Spatial,0,1,1,1.0,1.0,0.0
183,Spatial,0,1,1,0.0,0.0,0.0
184,Multi-hop,0,2,1,1.0,1.0,5.0
185,Spatial,0,1,1,1.0,1.0,0.0
187,Multi-hop,0,2,1,1.0,0.5,2.0
188,Multi-hop,0,2,1,1.0,1.0,4.0
189,Multi-hop,0,2,1,1.0,1.0,5.0
190,Spatial,0,1,1,0.0,0.0,0.0
191,Multi-hop,0,2,1,1.0,1.0,5.0
194,Multi-hop,0,2,1,1.0,1.0,5.0
195,Spatial,0,1,1,0.0,1.0,0.0
199,Spatial,0,1,1,1.0,1.0,0.0
